processed_text,sentiment,review_length
hôtel exceptionnel cœur tun recommand viv tout person passag mission centr personnel d’un grand gentilless tres professionnel immens merc réception saousen …,Positive,22
bonjour écris fair part immens décept – être …,Neutral,9
vérit hont l’hôteller tunisien cet établ n’a absolu rien d’un hôtel professionnel l’ambianc indign d’un lieu cens accueil voyageur — impossibl d’y trouv moindr calm repos …,Neutral,27
excellent séjour business hôtel j’ai pass séjour exceptionnel cet établ l’emplac parf plein cœur tun facilit déplac affair …,Positive,19
tres bon hôtel tres propr servic impecc personnel tres gentil restaur top ains petit déjeun recommandon,Positive,16
l’hôtel offre cadr agréabl calm propic détent l’ambianc chaleur personnel l’ensembl accueil servic correct nourritur bon pourr être peu plus vari quelqu …,Positive,23
vérit sansfaut – référent tun hôtel servic étoil lux j’ai séjourn business hôtel tun – montplais peux recommand chaud cet établ coch absolu tout …,Positive,25
l’hotel bon ladiscothequ jusquà h matin auss aujourd’hui apres deux nuite l’hotel reception m’a demand pai consomm min bar lachambr malgr n’ai rien consomm a insist pai n’ai rien consomm,Positive,30
j’ai pass excellent séjour business hotel l’établ propr bien entretenu parfait adapt séjour professionnel grand merc tout personnel gentilless professionnal …,Positive,21
tres bon hotel propr personnel tre gentill serviabl pet déjeun a hauteur étoil a refair,Positive,15
tres bel hôtel propr chaleur personnel extraordinair tres réactif serviabl grand gentilless conqu ambianc général si a point négat trouv manqu lumi …,Positive,23
magnif hôtel équip tres professionnel recommand fort 🇩🇿🇹🇳 …,Positive,9
hôtel sublim tres pratiqu nourritur délici personnel accueil chaleur surtout marou fill récept chambr tres sup propres❤️,Neutral,17
j’ai réserv booking suit mois avant d’arriv garant réserv cart créditl jour dev arriv l’hôtel h a h reçois notif booking cart refus pai …,Neutral,25
jai pass jour cet hôtel franch impecc lhôtel propr chambr tres symp personnel tres pro tres symp égal peux boir verr roof top a létag jai bien appréci …,Neutral,29
séjourn pension cet hôtelendroit propr cuisin tres copieux pension spécial léquip monsieur sécur 😉 mohamed bel oumaim mim tous aid mieux merc …,Positive,23
séjourn plusieur fois a lhôtel business hotel tun cest vrai tres bel hôtel pratiqu bien situ rapport besoin merc a tte léquip sest occup dur séjour début mar …,Positive,29
tres bel hôtel chambr spacieux dun propret impecc deux bar dont derni étag où lon peut boir cocktail regard vu servic impecc cet hôtel frôl pratiqu perfect recommand …,Positive,29
j’ai pass semain cet hôtel j’et tres satisfait équip chaleur commenc récept traver oumaim réception tres accueil dé arriv l’équip sécur auss tres …,Positive,24
‼️‼️à cherch l’av plus honnêt ‼️‼️ bel entré odeur jasmin caress narines🌸🌸 …,Positive,13
tout bien seul inconvénient musiqu tap oreil jusquà h matin malgr maint réclam,Neutral,13
horribl pass chemin discothequ lhôtel pass pir nuit tunis tout simpl hôtel voyageon beaucoup …,Positive,15
tres bon chambr personnel top trop brui nuit aller cet hôtel repos grand chos a fair alentour a pied,Positive,19
hôtel boît nuit toit… a bruit tous soir impossibl dorm avant h matin problémat hôtel « business » c’est dommag car chambr bien personnel agréabl,Neutral,25
accueil chaleur personnel lécout servic impecc nourritur boisson ❤️,Neutral,9
impeccabled laccueil souri tout léquip petitdéjeun délici copieux tres vari séjour encor fois parf propret chambr décor recherch liter xxl repos bien mérit prim lun sky bar loung restaur tres tendanc musiqu liv,Neutral,33
hotel magnif propr personnel tres chaleur bouff vrai délici serveur professionnel riadh merc magnif accueil mme sawssen récept ador 🥰 …,Neutral,21
chambr agréabl global propr bar eme étag agréabl accueil agréabl revanch établ voisin bar létag musiqu fond …,Neutral,18
lhôtel qualit présenc dun boit nuit roof top permet trouv calm lon peut esper dorm cest dommag,Neutral,17
franch arnaqu a ciel ouvert j’ai séjourn pend jour j’ai voulu demand l’av habill machin disent tout pass bien jusqu’à fin séjour demand regl dinar …,Positive,26
hôtel propr décor goût personnel tres sympath liter tres confort lit gigantesqu …,Neutral,13
cet hôtel devr être étoil plutôt étoil chambr joint douch crasseux a trac doigt gras peu partout déco vu chambr don autr appart bruit …,Negative,25
vrai bon choix sejour professionnel tun personnel tres disponibl professionnel chambr impecc tous servic nécessair superb qualit restaur disponibl sein létabl …,Positive,22
posit excellent pet déjeun tres vari bon hôtel propr bon servic …,Positive,12
tres bel hôtel confort propr servic qualit met succulent plus rooftop moin peu brui nuit manqu qu’un sall sport parfair servic cet hôtel,Positive,23
pass excellent séjour suit hannibal rien dir chambr vrai parfait tien remerci saoussen accueil disponibil sourir …,Positive,17
pet hotel centr vill bon emplac servic tré aimabl chambr propr bon rapport qualit prix petit moin vu ru bruit sonos deux bar lhotel nuit weekend recommand difficil trouv mieux prix,Positive,31
bonjour déconseil cet hôtel surtout si cest séjour professionnel premi soir oblig chang drap tâch nourriturechambr tres mal insonoris demand tax …,Negative,22
pens commenc posit alor chambr n’ai rien dir c’est récept auss personnel l’écout client pend point déplais …,Neutral,18
business hôtel hôtel où l’on sent comm chez soic mérit revient personnel chaleur dynam sympath surtout professionnel …,Positive,18
excellent hôtel personnel disponibl souri agréabl tres gentil room servic qualit chambr propr lit tres confort …,Positive,17
servic irréproch collabor collabor cet établ tres cordial efficac chambr tres confort lit haut qualit servic chambr sup établ recommand tout leur prestat,Positive,23
concern the lun sky loung ème bel endroit ambianc tres bon rep copieux délici bémol musiqu tres fort donc pratiqu soir group s’entendr parl serveur chaleur accueil a l’écou,Positive,29
servic parf tres bel accueil personnel top tres tres bel chambr recommand monsieur eric,Positive,14
réserv fait vi hôtel bed pai débit a arriv res cacophon total resolv situat car hôtel rien a voir problem passag sit evit car problem arriv deux …,Neutral,28
hôtel nest compatibl tout una boît nuit jou musiqu tré fort nuit point lon peut écout dé chambr doivent chois sil veulent être hôtel bien boît nuit san aucun …,Positive,30
hôtel bien situ plein centr tun chambresuit tres propr chaleur pet déjeun top variésviennoiseriescrepesfruitsyaourtsnb point plus fort personnel top toujour lécout merc a,Positive,23
j’y l’inst où j’ecr commentair merc moment exceptionnel réserv suit c’est san regret tout parf pass moment plus agréabl merc infin reviendron tres vit,Positive,24
catastroph boît nuit er etag mur lhôtel carton plaint récept tout personnel sen fout jam vu ca hôtel prétend business pratiqu tarif ahur,Positive,23
hotel tres bien plac chambr correspondent photo nois avion pourtan pris chambr supérieur chambr nest tres propr sall baim nickel contr tres bon petitdéjeun tout etais bon neuf,Positive,28
passag nuit business hôtel tun passag réuss liter tres confort ident standard européen chambr bien équip min bar nespresso ect …,Neutral,21
voyag pro tres bel accueil personnel chaleur gentil l’écout répondr demand plat tres copieux rebond contr bruit nuit musiqu jusquà minuit voir plus tard caus …,Positive,26
met étoil pourt jador met détail point posit étoil laccueil restaur menu top 🔝 lhygien chambr extra lit excellent détail douch verr …,Positive,23
bon hôtel simpl propr tout soir entend musiqu boît nuit trouv derni étag l’hôtel,Positive,14
a pass nuit suit ème étag cet top personnel serviabl souri pet déjeun vari correct,Positive,15
cadr tres modern chaleur pet bémol environ tourist lhôtel soigneux décor propr loung topissim 👍😜 …,Positive,16
hôtel top personnel tres sympath chambr grand class lit sup confort propret irréproch recommand fort cet établ,Positive,17
accueil chaleur servic soign excellent hôtel business,Positive,7
chambr confort personnel accueil cuisin correct just pet bémol lun sky peu brui di just dessous cest tel agréabl dy pass moment quon pardon presqu 😜 …,Positive,27
hotel peux cher fac servic trop bruit nuit caus disco demand pet deuj chambr oubli,Negative,15
jai beaucoup aim cet hôtel accueil tres chaleur personnel a écout particuli mr bibel servic mainten a intervenu dur séjour tres bon technicien gard précieux recommand cet hôtel si souhzit pass bon séjour mr mme tlil,Positive,36
vérit vitrin tunis modern alli modern ident business hotel hôtel d’affair cœur centr vill tun idéal situ quarti d’affair montplais mn celui berg lac …,Positive,25
trop bruit bar nest hôtel destin a séjour professionnel sall bain tres propr tres mauvais odeur serviet bain tres déçu,Negative,20
bjsiness hotel bon hotel centr vill con beaucoup plus soire hivernal rooftop bien organis group invit symp not negat porti a hauteur endroit,Neutral,23
comport mafieux réserv suppr réserv quelqu heur apres arriv lhotel pend voyag lavion,Neutral,13
jy allé mang bon ambianc peut fum lintérieur cest peu plus cher dautr restaur tun,Positive,15
lieu sympath tranquill h jusqu h puis ya musiqu liv sinon bb bien sup servic peu lent,Negative,17
tres difficil trouv où gar chambr tres brouill nuit impossibl dorm calm caus restaur spectacl ème etag sercic tres lent,Negative,20
personnel tres agréabl trop bruit restaur boît nuit er eme étag weekend,Neutral,12
chaleur convivial emplac tres délicat peut gar facil laccessibil auss tres difficil voitur pend journ,Positive,15
bel établ tres bon accueil tt ok sauf éclairag sdb faibl,Positive,11
accueil tres chaleur chambr propr petitdéjeun copieux rooftop agréabl,Neutral,9
tres bon hôtel personnel agréabl propret calm,Positive,7
bel expérient,Positive,2
deux bar cet établ sint formel interdit indigen non privilégi sous prétext drôl fragil jesper quil courag mention clair épargn humili gratuit port,Neutral,23
propr,Neutral,1
structur clean personnel aimabl seul min laéroport seul souc wif march,Neutral,11
superb tre calm gen tre gentil chaleur seulment jai pass heur trouv voitur revien conseil,Positive,15
hôtel symp centr detun contr gar faut aller desserv transport,Neutral,10
sup ambianc exelent accueil part recept monsieur mana ayar remerc énorm,Neutral,11
jai pass agréabl séjour cet établ mention spécial sawsan sofian amir,Positive,11
loung restaur qualit reviendron l’hôtel,Neutral,5
sup accueil personnel tres compet serviabl tres gentil,Positive,8
chambr nikel personel pet soin seul bemol bruit boit nuit sauf fétard vrai aubain,Neutral,14
excellent servic lhôtess daccueil rihab souri professionnel,Positive,7
ger lun sky mm pa communiqu client dun façon respect,Neutral,10
servic top chambr impecc recommand yeux ferm merc ❤️,Neutral,9
tres bon ambianc ok hygien ok bouff ok agent sécur respectu no,Positive,12
tre convivial accueil cadr idyll,Neutral,5
tres mauv hôtel conseil fair bon gateau,Positive,7
lieu convivial staff tres accueil,Neutral,5
bon séjour malgr musiqu tres fort weekend,Positive,7
top buffet déjeun spécial local excellent,Positive,6
tres cher rapport qualitéprix faut meilleur servic prix là,Neutral,9
servic nest tres rapid dur heur fort affluenc,Neutral,8
parm meilleur hôtel étoil,Positive,4
parking a lextérieur lhôtel,Neutral,4
top top,Neutral,2
staff 🥇✅ …,Neutral,3
lieu agréabl correct personnel professionnel,Positive,5
excellent buffet servic,Positive,3
lieu chaleur bon restaur,Positive,4
confort pratiqu plein centr vill,Positive,5
symp trop cher,Negative,3
tres beau hôtel,Positive,3
bon hotel,Positive,2
tres bon accueil servic,Positive,4
réception souri serviabl,Neutral,3
tres bel coin,Positive,3
lador,Neutral,1
no text,Neutral,2
endroit tres sympath,Neutral,3
lux,Neutral,1
bien,Neutral,1
bon ambianc,Positive,2
excellent,Positive,1
lieux agréabl,Neutral,2
comm maison,Neutral,2
hôtel vill centr vill,Neutral,4
ambianc intim,Neutral,2
hôtel voyag daffair,Neutral,3
magnif,Neutral,1
🏩🏩🏩🏩🍸🍺🍷🍹🍻🍖🍗🍢🍡🍝🌇🌇 …,Neutral,2
hôtel professionnel,Positive,2
pai tnd chambr tnd dîn restaur l’hôtel moment départ récept a fait attendr vérifi minibar… alor qu’il conten chos dep tnd …,Neutral,22
lhôtel bien situ plein centr tun quarti montplais proxim lavenu habib bourguib métro chambr propr climatis insonoris plutôt petit restaur espac …,Positive,22
lhôtel magnif tres propr personnel récept accueil toujour souri chambr peu petit lit tres confort …,Neutral,16
musiqu club réson empêch dorm tout nuit réception arriv désagré a dit asseoir pend quel vérifi passeport fait sattend …,Positive,20
tant quancien hôteli jai chaleur accueil récept chambr tres propr hasan monsieur sest occup transfert ver sfax sest montr particuli serviabl préven recommand viv cet hôtel,Neutral,26
équip formid sympath tres serviabl omaym réception exceptionnel fait sent comm maison pend séjour …,Positive,15
business hotel distingu propret qualit servic personnel récept exceptionnel jai accueil mme susan trait plus grand professionnal offert surclass …,Positive,20
cest tres bel hôtel laccueil récept parf tout personnel attention cest hôtel dun propret irréproch,Positive,15
début dit ressort maghreb pai tax séjour dev simpl présent docu prouv national marocain moment départ soudain chang …,Neutral,19
chambr peu petit vaut mieux évit chambr pres toit caus bruit bar,Neutral,12
réception tres accueil surtout mohamed serviabl tres sympath suit agréabl prépar pet déjeun heur matin avant vol recommand cet hôtel,Neutral,20
jai ador séjour business hotel latmospher lhôtel relax petitdéjeun délici grand merc omaim mohammed récept tres gentil serviabl merc,Positive,19
séjourn cet hôtel voyag trois jour vill malheur lexpérient na répondu attent …,Neutral,13
proch laéroport minut voitur gar jy pass nuit cest correct rien spécial …,Neutral,13
plus beau hôtel tun offrant servic exceptionnel prestat luxueux emplac idéal proxim l’aéroport mus bardo médina… chambr propr confort personnel tres aimabl serviabl accueil,Positive,24
symp propr convivial musiqu disco vrai trop agac,Neutral,8
jai pass séjour global agréabl chambr propr bien entretenu lexcept quelqu …,Neutral,12
bon hôtel conform standard local prix raison personnel tres aimabl nourritur bon fraîch petitdéjeun propos larg choix emplac strateg travailleur …,Positive,21
chambr tres propr bien situ servic serviabl,Neutral,7
jai séjourn lhôtel samed soir entre deux vol lenregistr a tres rapid sécur lentr professionnel cepend musiqu pubboît nuit insupport pend jet récept …,Positive,24
avis tatjan mölter a jour googl mar pass jour cet hôtel chambr correct petitdéjeun passabl tout cel import peu puisqu navon ferm lœil …,Positive,24
cest peutêtr troisiem fois séjourn cet hôtel jai décid partag avis car mérit vrai excellent critiqu jy pass jour long voyag daffair jai ador emplac idéal …,Positive,27
tout parf,Positive,2
lemplac lhôtel discut tout comm linsonoris fenêtr don ru cest tout trouv hôtel décor beaucoup goût dun propret exceptionnel personnel incroi …,Positive,22
lhôtel business lun meilleur jy séjourn septembr souhait partag expérient cet hôtel vrai exceptionnel personnel extrêm aimabl pol chambr impecc …,Positive,21
cest hôtel raison situ centr vill tunis peux dir cest hôtel lux cest bon option ceux aiment séjourn hôtel prix servic raison,Positive,22
excellent hôtel nourritur parfait personnel tres sympath disponibl voic quelqu conseil amélior lexpérient réduis bruit proven toit car peut être difficil dorm nuit utilis shampoing aprèsshampoing meilleur qualit,Positive,28
jai réserv sit lhôtel arriv réserv nav fonction dit sit hor servic depuis trois mois chambr cens être nonfumeur sent fum …,Neutral,22
lhôtel vrai symp chambr propr confort fais vrai chaud climatis fais rien tout a auss bar toit ème étag diffus musiqu fond donc difficil dorm,Neutral,25
félicit jai pass excellent moment personnel tres aimabl serviabl grand merc marw mariam saoussen désol rep plat arriv temp entré plat principal dessert refroid glac not fond préfer prépar deux fois,Neutral,31
meilleur soir tun merc,Positive,4
magnif hôtel merc mehd narj maryam respons sécur tout personnel cest hôtel vrai éleg personnel extrêm pol courtois petitdéjeun légendair,Positive,20
cest hôtel fantast tres modern bien situ personnel charm servic impecc petitdéjeun délici dexcellent qualit jy séjourn deux fois premi fois arriv annonc …,Neutral,24
tres bel hôtel malheur trop brui soir caus salon ciel ouvert situ sixiem étag entend musiqu bass puiss jusquau deuxiem étag cest donc hôtel daffair …,Positive,26
net premi fois lun sky hi soir amis vont assez souvent jai donc loccas accompagn deux fois fois anniversair puisquil chois fêt làb hi soir …,Positive,26
létabl propr personnel tres aimabl professionnel récept jai not rencontr mana aid trouv tax réserv restaur rentr laéroport tax dev part tres tôt matin jai reçu petitdéjeun chambr h excellent servic,Positive,31
hôtel tres agréabl récent vrai centr tout fort recommand voyag daffair chambr propr bon servic ménag connexion internet rapid bon petitdéjeun personnel récept tres …,Positive,25
navon pass quun nuit e e étag personnel soir matin incroi serviabl devion déménag h matin monast perm prendr petitdéjeun …,Neutral,21
cest sixiem fois séjourn cet hôtel jai impression propret chambr laccueil chaleur jai reçu arriv tien remerci tout particuli personnel récept …,Positive,22
lintérieur magnif personnel tres professionnel hôtel idéal coupl voyageur daffair proch nombreux caf restaur qualit comm pouv constat photos,Positive,19
endroit pratiqu confort actuel étag rénov pend ramadan restaur ferm cepend possibl dutilis cuisin déjeuner dîner chambr rezdechauss …,Neutral,19
jy hi jav réserv nuit jai laiss nuit raison professionnel jai donc chois lhôtel business nav jam séjourn endroit auss agréabl 🌃🌉🌌⛺😘 tun cest sup propr …,Positive,27
jai attribu étoil taill chambr pouv pein boug chambr lacces toilet difficil caus port pli deux côt …,Neutral,18
bon endroit étap lor dun voyag bel hôtel prix raison bien situ rapport laéroport wif bon gratuit personnel tres serviabl …,Positive,21
voul test nouvel hôtel tun emplac nest idéal loin centr médin sil proch dun rout principal bât trouv quarti peu recommand don parking …,Positive,24
recommand viv jai pass excellent séjour excellent hôtel servic impecc personnel tres sympath chambr propr excellent room servic excellent petitdéjeun pass quatr …,Positive,23
hôtel vrai excellent personnel formid offrant accueil chaleur servic irréproch chaqu emploi san except dévou confort trait gentilless sincer …,Positive,20
hadil récept tres sympath serviabl pass weekend dérang musiqu jou tard soir part cel cest hôtel tres agréabl confort jy retourn san hésit si jam rep là,Neutral,27
pass journ cet hôtel lor dun escal cest bon choix cel proch laéroport chambr bien quun peu petit conven propr bien équip personnel pol …,Positive,25
idéal situ centrevill cet hôtel étoil propos chambr rénov confort offre bon rapport qualitéprix indispens davoir voitur tax transport commun tres limit personnel tres accueil,Positive,25
accueil exceptionnel chambr dun propret irréproch buffet somptueux personnel absolu charm not sawsan récept maryam marw wasl restaur cet premi visit certain derni recommand viv cet hôtel cinq étoil,Positive,29
typ dhôtel standard américain typiqu voyageur daffair dis mani posit accueil chaleur propret impecc personnel professionnel bon rapport qualitéprix petitdéjeun correct bref fonctionnel san fioritur,Positive,25
séjour lhôtel a tres agréabl chambr propr jol décor personnel tres accueil lhôtel idéal situ proxim laéroport jy retourn san hésit lor prochain séjour tun,Positive,25
jai séjourn cet hôtel chambr propr personnel récept tres professionnel suit imprévu jai dû report voyag daffair comm cest souvent cas billet achet lign perd tout effectu report san aucun problem excellent reviendr sup,Positive,34
