processed_text,sentiment,review_length
lhôtel a dépass tout attent excellent chambr prestat qualit petitdéjeun bien meilleur prévu si cherch endroit où séjourn nhésit,Positive,19
bel chambr proch laéroport personnel courtois demand chambr e e étag sinon musiqu e étag gên a bar e étag cher portion géner cest tres enfum,Neutral,26
lhôtel global correct term dinfrastructur bruit proven restaurantterr e étag import lentend parfait e nos imagin e e étag weekend difficil …,Positive,22
chambr propr ambianc agréabl bar panoram sixiem étag excellent demand chambr calm lécart bar,Positive,14
laccueil récept saoussen particuli chaleur lensembl séjour sest bien pass sugger mieux inform client servic propos accompagn afin quil puissent profit plein,Positive,22
confort propr confort entrant lhôtel dit « voilà professionnel » tien remerci chaleur personnel servic oper spécial lhôtel barış attent …,Positive,21
jai pass nuit lhôtel cet tres bien personnel tres accueil particuli mme naour récept nourritur bon a discothequ rezdechauss bar tap létag recommand …,Positive,24
mattend lorsqu group travail retard manquion lheur dîn restaur lhôtel attendr serveux serv remplac,Neutral,14
excellent hôtel excellent servic personnel récept tres pol courtois petitdéjeun prépar niveau élev plus styl personnel servic chambr confort tres propr merc …,Positive,23
hôtel tres agréabl 🏨 personnel aimabl accueil propret irréproch …,Neutral,10
excellent hôtel attent tres appréci chambr comm machin caf nespresso lit oreiller tres confort seul bémol lhôtel tres délabr bar musical derni étag transmet vibrat autr étag,Neutral,27
excellent hôtel excellent servic personnel tres sympath chambr propr excellent servic chambr excellent rep excellent petitdéjeun salon bar sup prix tres raison recommand viv cet hôtel,Positive,26
réserv jam cet hôtel jai appel lhôtel concern problem réserv contact bookingcom alor cet respons réception désagré négligent mont jam rembours jai dû pai €,Neutral,25
jai beaucoup appréci séjour suit lhôtel business servic personnalis dun grand qualit merc tout léquip merc tout particuli saoussen toujour souri attent moindr détail « meilleur » recommand cet endroit tous amis,Positive,32
tres brui caus musiqu manqu respect person affair regl matin ny retourn déconseil quiconqu souhait dorm nuit car linsonoris inexist,Neutral,20
lhéberg servic tranquill exceptionnel jai hât découvr leur prochain prestat cest adress prédilect depuis deux an recommand systémat amis petitdéjeun …,Positive,21
tien exprim sincer gratitud chacun dentr accueil chaleur attention lhôtel tres confort propr idéal situ commerc deux rempart vill just côt remerc tout particuli cet atmospher si convivial,Positive,28
jai vrai appréci servic professionnel lamabl gentilless person travaillent lhôtel surtout miss marw miss saossen miss mariem miss wissalgraz a tutt per lo sforzo che fai per soddisfar i tuoi client,Positive,31
hôtel plutôt symp tres proch centr personnel tres gentil serviabl ceux veulent découvr tun cest parf,Positive,16
cest vérit hôtel daffair tous servic standard parf nuit alhamdulillah,Positive,10
cest hôtel vrai tres respect propr idéal situ proch tous sit tourist personnel récept souri toujour souri,Positive,17
honnêt lhôtel excellent term dinstall daccueil petitdéjeun tout fait correct cepend bruit musiqu discothequ assez fort,Positive,16
tres bel hôtel garag dessous hôtel import puisqu voyag moto chambr propr bon pet déjeun,Positive,15
hôtel exceptionnel cœur tun recommand viv tout person passag mission centr personnel d’un grand gentilless tres professionnel immens merc réception saousen …,Negative,22
bonjour écris fair part immens décept – être …,Negative,9
vérit hont l’hôteller tunisien cet établ n’a absolu rien d’un hôtel professionnel l’ambianc indign d’un lieu cens accueil voyageur — impossibl d’y trouv moindr calm repos …,Negative,27
excellent séjour business hôtel j’ai pass séjour exceptionnel cet établ l’emplac parf plein cœur tun facilit déplac affair …,Negative,19
tres bon hôtel tres propr servic impecc personnel tres gentil restaur top ains petit déjeun recommandon,Negative,16
l’hôtel offre cadr agréabl calm propic détent l’ambianc chaleur personnel l’ensembl accueil servic correct nourritur bon pourr être peu plus vari quelqu …,Negative,23
vérit sansfaut – référent tun hôtel servic étoil lux j’ai séjourn business hôtel tun – montplais peux recommand chaud cet établ coch absolu tout …,Negative,25
l’hotel bon ladiscothequ jusquà h matin auss aujourd’hui apres deux nuite l’hotel reception m’a demand pai consomm min bar lachambr malgr n’ai rien consomm a insist pai n’ai rien consomm,Negative,30
j’ai pass excellent séjour business hotel l’établ propr bien entretenu parfait adapt séjour professionnel grand merc tout personnel gentilless professionnal …,Negative,21
tres bon hotel propr personnel tre gentill serviabl pet déjeun a hauteur étoil a refair,Negative,15
tres bel hôtel propr chaleur personnel extraordinair tres réactif serviabl grand gentilless conqu ambianc général si a point négat trouv manqu lumi …,Negative,23
magnif hôtel équip tres professionnel recommand fort 🇩🇿🇹🇳 …,Negative,9
hôtel sublim tres pratiqu nourritur délici personnel accueil chaleur surtout marou fill récept chambr tres sup propres❤️,Negative,17
j’ai réserv booking suit mois avant d’arriv garant réserv cart créditl jour dev arriv l’hôtel h a h reçois notif booking cart refus pai …,Negative,25
jai pass jour cet hôtel franch impecc lhôtel propr chambr tres symp personnel tres pro tres symp égal peux boir verr roof top a létag jai bien appréci …,Negative,29
séjourn pension cet hôtelendroit propr cuisin tres copieux pension spécial léquip monsieur sécur 😉 mohamed bel oumaim mim tous aid mieux merc …,Negative,23
séjourn plusieur fois a lhôtel business hotel tun cest vrai tres bel hôtel pratiqu bien situ rapport besoin merc a tte léquip sest occup dur séjour début mar …,Negative,29
tres bel hôtel chambr spacieux dun propret impecc deux bar dont derni étag où lon peut boir cocktail regard vu servic impecc cet hôtel frôl pratiqu perfect recommand …,Negative,29
j’ai pass semain cet hôtel j’et tres satisfait équip chaleur commenc récept traver oumaim réception tres accueil dé arriv l’équip sécur auss tres …,Negative,24
‼️‼️à cherch l’av plus honnêt ‼️‼️ bel entré odeur jasmin caress narines🌸🌸 …,Negative,13
tout bien seul inconvénient musiqu tap oreil jusquà h matin malgr maint réclam,Negative,13
horribl pass chemin discothequ lhôtel pass pir nuit tunis tout simpl hôtel voyageon beaucoup …,Negative,15
tres bon chambr personnel top trop brui nuit aller cet hôtel repos grand chos a fair alentour a pied,Negative,19
hôtel boît nuit toit… a bruit tous soir impossibl dorm avant h matin problémat hôtel « business » c’est dommag car chambr bien personnel agréabl,Negative,25
accueil chaleur personnel lécout servic impecc nourritur boisson ❤️,Negative,9
impeccabled laccueil souri tout léquip petitdéjeun délici copieux tres vari séjour encor fois parf propret chambr décor recherch liter xxl repos bien mérit prim lun sky bar loung restaur tres tendanc musiqu liv,Negative,33
hotel magnif propr personnel tres chaleur bouff vrai délici serveur professionnel riadh merc magnif accueil mme sawssen récept ador 🥰 …,Negative,21
chambr agréabl global propr bar eme étag agréabl accueil agréabl revanch établ voisin bar létag musiqu fond …,Negative,18
lhôtel qualit présenc dun boit nuit roof top permet trouv calm lon peut esper dorm cest dommag,Negative,17
franch arnaqu a ciel ouvert j’ai séjourn pend jour j’ai voulu demand l’av habill machin disent tout pass bien jusqu’à fin séjour demand regl dinar …,Negative,26
hôtel propr décor goût personnel tres sympath liter tres confort lit gigantesqu …,Negative,13
cet hôtel devr être étoil plutôt étoil chambr joint douch crasseux a trac doigt gras peu partout déco vu chambr don autr appart bruit …,Negative,25
vrai bon choix sejour professionnel tun personnel tres disponibl professionnel chambr impecc tous servic nécessair superb qualit restaur disponibl sein létabl …,Negative,22
posit excellent pet déjeun tres vari bon hôtel propr bon servic …,Negative,12
tres bel hôtel confort propr servic qualit met succulent plus rooftop moin peu brui nuit manqu qu’un sall sport parfair servic cet hôtel,Negative,23
pass excellent séjour suit hannibal rien dir chambr vrai parfait tien remerci saoussen accueil disponibil sourir …,Negative,17
pet hotel centr vill bon emplac servic tré aimabl chambr propr bon rapport qualit prix petit moin vu ru bruit sonos deux bar lhotel nuit weekend recommand difficil trouv mieux prix,Negative,31
bonjour déconseil cet hôtel surtout si cest séjour professionnel premi soir oblig chang drap tâch nourriturechambr tres mal insonoris demand tax …,Negative,22
pens commenc posit alor chambr n’ai rien dir c’est récept auss personnel l’écout client pend point déplais …,Negative,18
business hôtel hôtel où l’on sent comm chez soic mérit revient personnel chaleur dynam sympath surtout professionnel …,Negative,18
excellent hôtel personnel disponibl souri agréabl tres gentil room servic qualit chambr propr lit tres confort …,Negative,17
servic irréproch collabor collabor cet établ tres cordial efficac chambr tres confort lit haut qualit servic chambr sup établ recommand tout leur prestat,Negative,23
concern the lun sky loung ème bel endroit ambianc tres bon rep copieux délici bémol musiqu tres fort donc pratiqu soir group s’entendr parl serveur chaleur accueil a l’écou,Negative,29
servic parf tres bel accueil personnel top tres tres bel chambr recommand monsieur eric,Negative,14
réserv fait vi hôtel bed pai débit a arriv res cacophon total resolv situat car hôtel rien a voir problem passag sit evit car problem arriv deux …,Negative,28
hôtel nest compatibl tout una boît nuit jou musiqu tré fort nuit point lon peut écout dé chambr doivent chois sil veulent être hôtel bien boît nuit san aucun …,Negative,30
hôtel bien situ plein centr tun chambresuit tres propr chaleur pet déjeun top variésviennoiseriescrepesfruitsyaourtsnb point plus fort personnel top toujour lécout merc a,Negative,23
j’y l’inst où j’ecr commentair merc moment exceptionnel réserv suit c’est san regret tout parf pass moment plus agréabl merc infin reviendron tres vit,Negative,24
catastroph boît nuit er etag mur lhôtel carton plaint récept tout personnel sen fout jam vu ca hôtel prétend business pratiqu tarif ahur,Negative,23
hotel tres bien plac chambr correspondent photo nois avion pourtan pris chambr supérieur chambr nest tres propr sall baim nickel contr tres bon petitdéjeun tout etais bon neuf,Negative,28
passag nuit business hôtel tun passag réuss liter tres confort ident standard européen chambr bien équip min bar nespresso ect …,Negative,21
voyag pro tres bel accueil personnel chaleur gentil l’écout répondr demand plat tres copieux rebond contr bruit nuit musiqu jusquà minuit voir plus tard caus …,Negative,26
met étoil pourt jador met détail point posit étoil laccueil restaur menu top 🔝 lhygien chambr extra lit excellent détail douch verr …,Negative,23
bon hôtel simpl propr tout soir entend musiqu boît nuit trouv derni étag l’hôtel,Negative,14
a pass nuit suit ème étag cet top personnel serviabl souri pet déjeun vari correct,Negative,15
cadr tres modern chaleur pet bémol environ tourist lhôtel soigneux décor propr loung topissim 👍😜 …,Negative,16
hôtel top personnel tres sympath chambr grand class lit sup confort propret irréproch recommand fort cet établ,Negative,17
accueil chaleur servic soign excellent hôtel business,Negative,7
chambr confort personnel accueil cuisin correct just pet bémol lun sky peu brui di just dessous cest tel agréabl dy pass moment quon pardon presqu 😜 …,Negative,27
hotel peux cher fac servic trop bruit nuit caus disco demand pet deuj chambr oubli,Negative,15
jai beaucoup aim cet hôtel accueil tres chaleur personnel a écout particuli mr bibel servic mainten a intervenu dur séjour tres bon technicien gard précieux recommand cet hôtel si souhzit pass bon séjour mr mme tlil,Negative,36
vérit vitrin tunis modern alli modern ident business hotel hôtel d’affair cœur centr vill tun idéal situ quarti d’affair montplais mn celui berg lac …,Negative,25
trop bruit bar nest hôtel destin a séjour professionnel sall bain tres propr tres mauvais odeur serviet bain tres déçu,Negative,20
bjsiness hotel bon hotel centr vill con beaucoup plus soire hivernal rooftop bien organis group invit symp not negat porti a hauteur endroit,Negative,23
comport mafieux réserv suppr réserv quelqu heur apres arriv lhotel pend voyag lavion,Negative,13
jy allé mang bon ambianc peut fum lintérieur cest peu plus cher dautr restaur tun,Negative,15
lieu sympath tranquill h jusqu h puis ya musiqu liv sinon bb bien sup servic peu lent,Negative,17
tres difficil trouv où gar chambr tres brouill nuit impossibl dorm calm caus restaur spectacl ème etag sercic tres lent,Negative,20
personnel tres agréabl trop bruit restaur boît nuit er eme étag weekend,Negative,12
chaleur convivial emplac tres délicat peut gar facil laccessibil auss tres difficil voitur pend journ,Negative,15
bel établ tres bon accueil tt ok sauf éclairag sdb faibl,Negative,11
accueil tres chaleur chambr propr petitdéjeun copieux rooftop agréabl,Negative,9
tres bon hôtel personnel agréabl propret calm,Negative,7
bel expérient,Negative,2
deux bar cet établ sint formel interdit indigen non privilégi sous prétext drôl fragil jesper quil courag mention clair épargn humili gratuit port,Negative,23
propr,Negative,1
structur clean personnel aimabl seul min laéroport seul souc wif march,Negative,11
superb tre calm gen tre gentil chaleur seulment jai pass heur trouv voitur revien conseil,Negative,15
hôtel symp centr detun contr gar faut aller desserv transport,Negative,10
sup ambianc exelent accueil part recept monsieur mana ayar remerc énorm,Negative,11
jai pass agréabl séjour cet établ mention spécial sawsan sofian amir,Negative,11
loung restaur qualit reviendron l’hôtel,Negative,5
sup accueil personnel tres compet serviabl tres gentil,Negative,8
chambr nikel personel pet soin seul bemol bruit boit nuit sauf fétard vrai aubain,Negative,14
excellent servic lhôtess daccueil rihab souri professionnel,Negative,7
ger lun sky mm pa communiqu client dun façon respect,Negative,10
servic top chambr impecc recommand yeux ferm merc ❤️,Negative,9
tres bon ambianc ok hygien ok bouff ok agent sécur respectu no,Negative,12
tre convivial accueil cadr idyll,Negative,5
tres mauv hôtel conseil fair bon gateau,Negative,7
lieu convivial staff tres accueil,Negative,5
bon séjour malgr musiqu tres fort weekend,Negative,7
top buffet déjeun spécial local excellent,Negative,6
tres cher rapport qualitéprix faut meilleur servic prix là,Negative,9
servic nest tres rapid dur heur fort affluenc,Negative,8
parm meilleur hôtel étoil,Negative,4
parking a lextérieur lhôtel,Negative,4
top top,Negative,2
staff 🥇✅ …,Negative,3
lieu agréabl correct personnel professionnel,Negative,5
excellent buffet servic,Negative,3
lieu chaleur bon restaur,Negative,4
confort pratiqu plein centr vill,Negative,5
symp trop cher,Negative,3
tres beau hôtel,Negative,3
bon hotel,Negative,2
tres bon accueil servic,Negative,4
réception souri serviabl,Negative,3
tres bel coin,Negative,3
lador,Negative,1
no text,Negative,2
endroit tres sympath,Negative,3
lux,Negative,1
bien,Neutral,1
bon ambianc,Neutral,2
excellent,Neutral,1
lieux agréabl,Neutral,2
comm maison,Neutral,2
hôtel vill centr vill,Neutral,4
ambianc intim,Neutral,2
hôtel voyag daffair,Neutral,3
magnif,Neutral,1
🏩🏩🏩🏩🍸🍺🍷🍹🍻🍖🍗🍢🍡🍝🌇🌇 …,Neutral,2
hôtel professionnel,Neutral,2
pai tnd chambr tnd dîn restaur l’hôtel moment départ récept a fait attendr vérifi minibar… alor qu’il conten chos dep tnd …,Neutral,22
lhôtel bien situ plein centr tun quarti montplais proxim lavenu habib bourguib métro chambr propr climatis insonoris plutôt petit restaur espac …,Neutral,22
lhôtel magnif tres propr personnel récept accueil toujour souri chambr peu petit lit tres confort …,Neutral,16
musiqu club réson empêch dorm tout nuit réception arriv désagré a dit asseoir pend quel vérifi passeport fait sattend …,Neutral,20
tant quancien hôteli jai chaleur accueil récept chambr tres propr hasan monsieur sest occup transfert ver sfax sest montr particuli serviabl préven recommand viv cet hôtel,Neutral,26
équip formid sympath tres serviabl omaym réception exceptionnel fait sent comm maison pend séjour …,Neutral,15
business hotel distingu propret qualit servic personnel récept exceptionnel jai accueil mme susan trait plus grand professionnal offert surclass …,Neutral,20
cest tres bel hôtel laccueil récept parf tout personnel attention cest hôtel dun propret irréproch,Neutral,15
début dit ressort maghreb pai tax séjour dev simpl présent docu prouv national marocain moment départ soudain chang …,Neutral,19
chambr peu petit vaut mieux évit chambr pres toit caus bruit bar,Neutral,12
réception tres accueil surtout mohamed serviabl tres sympath suit agréabl prépar pet déjeun heur matin avant vol recommand cet hôtel,Neutral,20
jai ador séjour business hotel latmospher lhôtel relax petitdéjeun délici grand merc omaim mohammed récept tres gentil serviabl merc,Neutral,19
séjourn cet hôtel voyag trois jour vill malheur lexpérient na répondu attent …,Neutral,13
proch laéroport minut voitur gar jy pass nuit cest correct rien spécial …,Neutral,13
plus beau hôtel tun offrant servic exceptionnel prestat luxueux emplac idéal proxim l’aéroport mus bardo médina… chambr propr confort personnel tres aimabl serviabl accueil,Neutral,24
symp propr convivial musiqu disco vrai trop agac,Neutral,8
jai pass séjour global agréabl chambr propr bien entretenu lexcept quelqu …,Neutral,12
bon hôtel conform standard local prix raison personnel tres aimabl nourritur bon fraîch petitdéjeun propos larg choix emplac strateg travailleur …,Neutral,21
chambr tres propr bien situ servic serviabl,Neutral,7
jai séjourn lhôtel samed soir entre deux vol lenregistr a tres rapid sécur lentr professionnel cepend musiqu pubboît nuit insupport pend jet récept …,Neutral,24
avis tatjan mölter a jour googl mar pass jour cet hôtel chambr correct petitdéjeun passabl tout cel import peu puisqu navon ferm lœil …,Neutral,24
cest peutêtr troisiem fois séjourn cet hôtel jai décid partag avis car mérit vrai excellent critiqu jy pass jour long voyag daffair jai ador emplac idéal …,Neutral,27
tout parf,Neutral,2
lemplac lhôtel discut tout comm linsonoris fenêtr don ru cest tout trouv hôtel décor beaucoup goût dun propret exceptionnel personnel incroi …,Neutral,22
lhôtel business lun meilleur jy séjourn septembr souhait partag expérient cet hôtel vrai exceptionnel personnel extrêm aimabl pol chambr impecc …,Neutral,21
cest hôtel raison situ centr vill tunis peux dir cest hôtel lux cest bon option ceux aiment séjourn hôtel prix servic raison,Neutral,22
excellent hôtel nourritur parfait personnel tres sympath disponibl voic quelqu conseil amélior lexpérient réduis bruit proven toit car peut être difficil dorm nuit utilis shampoing aprèsshampoing meilleur qualit,Neutral,28
jai réserv sit lhôtel arriv réserv nav fonction dit sit hor servic depuis trois mois chambr cens être nonfumeur sent fum …,Neutral,22
lhôtel vrai symp chambr propr confort fais vrai chaud climatis fais rien tout a auss bar toit ème étag diffus musiqu fond donc difficil dorm,Neutral,25
félicit jai pass excellent moment personnel tres aimabl serviabl grand merc marw mariam saoussen désol rep plat arriv temp entré plat principal dessert refroid glac not fond préfer prépar deux fois,Neutral,31
meilleur soir tun merc,Neutral,4
magnif hôtel merc mehd narj maryam respons sécur tout personnel cest hôtel vrai éleg personnel extrêm pol courtois petitdéjeun légendair,Neutral,20
cest hôtel fantast tres modern bien situ personnel charm servic impecc petitdéjeun délici dexcellent qualit jy séjourn deux fois premi fois arriv annonc …,Neutral,24
tres bel hôtel malheur trop brui soir caus salon ciel ouvert situ sixiem étag entend musiqu bass puiss jusquau deuxiem étag cest donc hôtel daffair …,Neutral,26
net premi fois lun sky hi soir amis vont assez souvent jai donc loccas accompagn deux fois fois anniversair puisquil chois fêt làb hi soir …,Neutral,26
